split,dataset,query_id,group,depth,initial_f1,pre_f1,post_f1,observed_delta,resolved_count,unresolved_count,resolved_fraction,evidence_support_count,support_per_resolved,answer_token_count,answer_char_count,reasoning_progress_token_count,reasoning_progress_char_count,next_information_need_token_count,next_search_query_token_count,cot_step_count,cot_token_count,passage_count,unique_passage_ratio,unique_title_ratio,evidence_vocab_size,retrieval_score_mean,retrieval_score_max,retrieval_score_std,question_query_jaccard,question_answer_jaccard,answer_evidence_jaccard,query_evidence_jaccard,progress_evidence_jaccard,need_evidence_jaccard,support_evidence_jaccard,answer_support_jaccard,unresolved_query_jaccard,resolved_evidence_jaccard,unresolved_evidence_jaccard
allocator-development,2wiki,0027f4be088a11ebbd6eac1f6bf848b6,2wiki::0027f4be088a11ebbd6eac1f6bf848b6,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,7.0,32.0,240.0,13.0,6.0,1.0,32.0,6.0,1.0,1.0,140.0,39.20786116666667,42.808475,2.0276818477663454,0.2777777777777778,0.0,0.0,0.03546099290780142,0.075,0.04794520547945205,0.20567375886524822,0.0,0.375,0.0,0.04697986577181208
allocator-development,2wiki,0027f4be088a11ebbd6eac1f6bf848b6,2wiki::0027f4be088a11ebbd6eac1f6bf848b6,2.0,0.0,1.0,0.29,-0.71,2.0,1.0,0.6666666666666666,2.0,1.0,1.0,2.0,40.0,359.0,22.0,4.0,2.0,57.0,12.0,1.0,0.75,213.0,32.32200125,42.808475,7.948783714597704,0.0,0.0,0.0,0.014018691588785047,0.07659574468085106,0.05855855855855856,0.2558139534883721,0.0,0.3333333333333333,0.07981220657276995,0.018433179723502304
allocator-development,2wiki,018c9b0f08d311ebbd96ac1f6bf848b6,2wiki::018c9b0f08d311ebbd96ac1f6bf848b6,1.0,1.0,1.0,0.0,-1.0,2.0,1.0,0.6666666666666666,2.0,1.0,2.0,10.0,22.0,137.0,14.0,6.0,1.0,22.0,6.0,1.0,0.8333333333333334,229.0,37.445181833333336,45.178745,6.467597708279622,0.0,0.11764705882352941,0.008733624454148471,0.017316017316017316,0.05907172995780591,0.038461538461538464,0.09090909090909091,0.08695652173913043,0.35714285714285715,0.05217391304347826,0.03862660944206009
allocator-development,2wiki,018c9b0f08d311ebbd96ac1f6bf848b6,2wiki::018c9b0f08d311ebbd96ac1f6bf848b6,2.0,1.0,0.0,1.0,1.0,2.0,2.0,0.5,2.0,1.0,2.0,12.0,28.0,185.0,21.0,8.0,2.0,37.0,12.0,1.0,0.8333333333333334,701.0,41.175400833333335,50.51078,6.829920574325868,0.13636363636363635,0.0,0.0028530670470756064,0.011412268188302425,0.02676056338028169,0.0226628895184136,0.044096728307254626,0.06060606060606061,0.09523809523809523,0.029829545454545456,0.01272984441301273
allocator-development,2wiki,020f25320bdb11eba7f7acde48001122,2wiki::020f25320bdb11eba7f7acde48001122,1.0,0.0,0.0,0.67,0.67,1.0,1.0,0.5,1.0,1.0,1.0,7.0,25.0,189.0,13.0,5.0,1.0,25.0,6.0,1.0,0.6666666666666666,91.0,35.49460833333333,37.983227,1.3892716609673175,0.25,0.0,0.0,0.02127659574468085,0.11538461538461539,0.0297029702970297,0.10869565217391304,0.0,0.5714285714285714,0.11956521739130435,0.021052631578947368
allocator-development,2wiki,020f25320bdb11eba7f7acde48001122,2wiki::020f25320bdb11eba7f7acde48001122,2.0,0.0,0.67,0.67,0.0,2.0,0.0,1.0,2.0,1.0,2.0,15.0,30.0,212.0,14.0,6.0,2.0,40.0,12.0,1.0,0.6666666666666666,212.0,33.150413416666666,37.983227,2.9466658781663573,0.06666666666666667,0.0,0.009433962264150943,0.023474178403755867,0.07555555555555556,0.018018018018018018,0.17289719626168223,0.05128205128205128,0.0,0.04608294930875576,0.0
allocator-development,2wiki,022aa065085711ebbd59ac1f6bf848b6,2wiki::022aa065085711ebbd59ac1f6bf848b6,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.5,2.0,1.0,1.0,2.0,33.0,301.0,15.0,3.0,1.0,33.0,6.0,1.0,0.8333333333333334,127.0,45.13014716666667,50.36581,3.332590098934582,0.0,0.0,0.0,0.015625,0.08108108108108109,0.06766917293233082,0.16279069767441862,0.0,0.42857142857142855,0.1171875,0.03875968992248062
allocator-development,2wiki,022aa065085711ebbd59ac1f6bf848b6,2wiki::022aa065085711ebbd59ac1f6bf848b6,2.0,1.0,1.0,0.0,-1.0,4.0,1.0,0.8,3.0,0.75,1.0,2.0,23.0,176.0,14.0,4.0,2.0,44.0,12.0,1.0,0.8333333333333334,202.0,39.81385591666667,53.611095,11.196900212360589,0.0,0.0,0.0,0.00980392156862745,0.056338028169014086,0.02857142857142857,0.13170731707317074,0.0,0.42857142857142855,0.08095238095238096,0.014634146341463415
allocator-development,2wiki,02aae9a008e211ebbda3ac1f6bf848b6,2wiki::02aae9a008e211ebbda3ac1f6bf848b6,1.0,0.0,0.0,0.25,0.25,1.0,2.0,0.3333333333333333,2.0,2.0,6.0,36.0,22.0,167.0,8.0,5.0,1.0,22.0,6.0,1.0,0.6666666666666666,120.0,51.76402216666666,57.64653,4.416751952518932,0.3333333333333333,0.16666666666666666,0.008,0.016260162601626018,0.09230769230769231,0.04065040650406504,0.0,0.0,0.4444444444444444,0.09090909090909091,0.03225806451612903
allocator-development,2wiki,02aae9a008e211ebbda3ac1f6bf848b6,2wiki::02aae9a008e211ebbda3ac1f6bf848b6,2.0,0.0,0.25,1.0,0.75,2.0,0.0,1.0,2.0,1.0,8.0,39.0,26.0,211.0,18.0,9.0,2.0,34.0,12.0,1.0,0.75,226.0,38.180900916666666,57.64653,14.245726883883634,0.2631578947368421,0.2777777777777778,0.012987012987012988,0.03070175438596491,0.07234042553191489,0.04721030042918455,0.0,0.0,0.0,0.06550218340611354,0.0
allocator-development,2wiki,02ac9e3f08c511ebbd8eac1f6bf848b6,2wiki::02ac9e3f08c511ebbd8eac1f6bf848b6,1.0,1.0,1.0,0.29,-0.71,2.0,2.0,0.5,2.0,1.0,1.0,2.0,41.0,308.0,17.0,3.0,1.0,41.0,6.0,1.0,0.8333333333333334,171.0,54.22160383333333,57.278564,2.5212895171623604,0.0,0.0,0.0,0.011627906976744186,0.13978494623655913,0.062146892655367235,0.6011560693641619,0.0,0.2727272727272727,0.11046511627906977,0.05202312138728324
allocator-development,2wiki,02ac9e3f08c511ebbd8eac1f6bf848b6,2wiki::02ac9e3f08c511ebbd8eac1f6bf848b6,2.0,1.0,0.29,0.29,0.0,2.0,1.0,0.6666666666666666,3.0,1.5,7.0,47.0,37.0,276.0,16.0,3.0,2.0,51.0,12.0,1.0,0.8333333333333334,295.0,43.695988166666666,57.278564,12.99274610446485,0.0,0.13636363636363635,0.010033444816053512,0.006756756756756757,0.08496732026143791,0.03666666666666667,0.3724832214765101,0.01680672268907563,0.6,0.0711864406779661,0.006711409395973154
allocator-development,2wiki,02c235f5084e11ebbd56ac1f6bf848b6,2wiki::02c235f5084e11ebbd56ac1f6bf848b6,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.4,2.0,1.0,3.0,16.0,15.0,92.0,10.0,4.0,1.0,15.0,6.0,1.0,0.6666666666666666,178.0,37.1424625,44.94424,6.798282974744819,0.0,0.21428571428571427,0.016853932584269662,0.01675977653631285,0.021164021164021163,0.03867403314917127,0.0,0.0,0.3076923076923077,0.06741573033707865,0.04371584699453552
allocator-development,2wiki,02c235f5084e11ebbd56ac1f6bf848b6,2wiki::02c235f5084e11ebbd56ac1f6bf848b6,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.5,2.0,1.0,3.0,16.0,28.0,202.0,10.0,4.0,2.0,35.0,12.0,1.0,0.75,304.0,32.404467833333335,44.94424,9.478621112187776,0.0,0.21428571428571427,0.009868421052631578,0.009836065573770493,0.07096774193548387,0.02280130293159609,0.12091503267973856,0.024390243902439025,0.23529411764705882,0.035830618892508145,0.038834951456310676
allocator-development,2wiki,03769bed089a11ebbd77ac1f6bf848b6,2wiki::03769bed089a11ebbd77ac1f6bf848b6,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,8.0,48.0,36.0,248.0,23.0,7.0,1.0,36.0,6.0,1.0,0.8333333333333334,166.0,44.156897666666666,74.51726,13.595552814083943,0.16666666666666666,0.375,0.04819277108433735,0.005813953488372093,0.08602150537634409,0.06179775280898876,0.1317365269461078,0.34782608695652173,0.375,0.047619047619047616,0.0
allocator-development,2wiki,03769bed089a11ebbd77ac1f6bf848b6,2wiki::03769bed089a11ebbd77ac1f6bf848b6,2.0,0.0,0.0,0.29,0.29,1.0,1.0,0.5,2.0,2.0,23.0,172.0,45.0,363.0,13.0,5.0,2.0,61.0,12.0,1.0,0.9166666666666666,281.0,36.12129566666667,74.51726,13.197161649708775,0.11764705882352941,0.27586206896551724,0.03754266211604096,0.014184397163120567,0.07590759075907591,0.01730103806228374,0.0,0.0,0.3333333333333333,0.028469750889679714,0.010526315789473684
allocator-development,2wiki,03be1ded086211ebbd5dac1f6bf848b6,2wiki::03be1ded086211ebbd5dac1f6bf848b6,1.0,1.0,1.0,0.67,-0.32999999999999996,2.0,0.0,1.0,2.0,1.0,2.0,14.0,20.0,157.0,17.0,8.0,1.0,20.0,6.0,1.0,0.8333333333333334,310.0,27.597998333333333,41.773026,6.455594945211109,0.14285714285714285,0.25,0.0064516129032258064,0.01597444089456869,0.04100946372239748,0.01238390092879257,0.02875399361022364,0.16666666666666666,0.0,0.022435897435897436,0.0
allocator-development,2wiki,03be1ded086211ebbd5dac1f6bf848b6,2wiki::03be1ded086211ebbd5dac1f6bf848b6,2.0,1.0,0.67,0.67,0.0,3.0,0.0,1.0,2.0,0.6666666666666666,4.0,24.0,26.0,205.0,16.0,6.0,2.0,27.0,11.0,1.0,0.9090909090909091,398.0,26.592320454545455,41.773026,4.942251449083439,0.16666666666666666,0.5,0.007518796992481203,0.01507537688442211,0.0392156862745098,0.024752475247524754,0.022443890274314215,0.14285714285714285,0.0,0.017369727047146403,0.0
allocator-development,2wiki,03bfd8de08b311ebbd85ac1f6bf848b6,2wiki::03bfd8de08b311ebbd85ac1f6bf848b6,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,21.0,141.0,12.0,6.0,1.0,21.0,6.0,1.0,1.0,219.0,37.4936185,55.680923,8.797659774048585,0.45454545454545453,0.0,0.0,0.022727272727272728,0.048034934497816595,0.01762114537444934,0.03153153153153153,0.0,0.0,0.0319634703196347,0.0
allocator-development,2wiki,03bfd8de08b311ebbd85ac1f6bf848b6,2wiki::03bfd8de08b311ebbd85ac1f6bf848b6,2.0,1.0,1.0,0.25,-0.75,2.0,0.0,1.0,2.0,1.0,1.0,2.0,21.0,154.0,12.0,6.0,2.0,27.0,7.0,1.0,1.0,229.0,36.69800742857143,55.680923,8.374952264534524,0.45454545454545453,0.0,0.0,0.021739130434782608,0.04602510460251046,0.016877637130801686,0.042735042735042736,0.0,0.0,0.017316017316017316,0.0
allocator-development,2wiki,042d98cc097311ebbdb0ac1f6bf848b6,2wiki::042d98cc097311ebbdb0ac1f6bf848b6,1.0,1.0,1.0,0.29,-0.71,2.0,0.0,1.0,2.0,1.0,1.0,2.0,15.0,117.0,17.0,5.0,1.0,15.0,6.0,1.0,1.0,116.0,29.917048166666667,44.014114,7.18774522535949,0.21428571428571427,0.0,0.0,0.03418803418803419,0.06504065040650407,0.07258064516129033,0.16101694915254236,0.0,0.0,0.0603448275862069,0.0
allocator-development,2wiki,042d98cc097311ebbdb0ac1f6bf848b6,2wiki::042d98cc097311ebbdb0ac1f6bf848b6,2.0,1.0,0.29,0.29,0.0,2.0,0.0,1.0,2.0,1.0,6.0,36.0,17.0,141.0,17.0,6.0,2.0,19.0,8.0,1.0,1.0,128.0,28.794536625,44.014114,6.521338631909344,0.058823529411764705,0.125,0.007518796992481203,0.03076923076923077,0.058394160583941604,0.058394160583941604,0.08396946564885496,0.05263157894736842,0.0,0.0546875,0.0
allocator-development,2wiki,0481ed5408e311ebbda4ac1f6bf848b6,2wiki::0481ed5408e311ebbda4ac1f6bf848b6,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0,2.0,37.0,255.0,9.0,4.0,1.0,37.0,6.0,1.0,1.0,100.0,37.8617525,40.357277,1.6340690036941286,0.2727272727272727,0.0,0.0,0.0196078431372549,0.0873015873015873,0.02830188679245283,0.0,0.0,0.75,0.04,0.019801980198019802
allocator-development,2wiki,0481ed5408e311ebbda4ac1f6bf848b6,2wiki::0481ed5408e311ebbda4ac1f6bf848b6,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,3.0,3.0,1.0,2.0,32.0,246.0,13.0,4.0,2.0,51.0,7.0,1.0,1.0,105.0,37.18121528571429,40.357277,2.2511135928110106,0.2727272727272727,0.0,0.0,0.018691588785046728,0.10483870967741936,0.02608695652173913,0.0,0.0,0.42857142857142855,0.0380952380952381,0.01834862385321101
