split,dataset,query_id,group,depth,initial_f1,pre_f1,post_f1,observed_delta,resolved_count,unresolved_count,resolved_fraction,evidence_support_count,support_per_resolved,answer_token_count,answer_char_count,reasoning_progress_token_count,reasoning_progress_char_count,next_information_need_token_count,next_search_query_token_count,cot_step_count,cot_token_count,passage_count,unique_passage_ratio,unique_title_ratio,evidence_vocab_size,retrieval_score_mean,retrieval_score_max,retrieval_score_std,question_query_jaccard,question_answer_jaccard,answer_evidence_jaccard,query_evidence_jaccard,progress_evidence_jaccard,need_evidence_jaccard,support_evidence_jaccard,answer_support_jaccard,unresolved_query_jaccard,resolved_evidence_jaccard,unresolved_evidence_jaccard,mu,v_hat,dynamic_benefit,adaptive_score,historical_native_u,historical_raser,historical_benefit,historical_direct_gain_et,historical_idr,provider_tokens,latency_ms
independent-evaluation,2wiki,00365bc709c511ebbdb0ac1f6bf848b6,2wiki::00365bc709c511ebbdb0ac1f6bf848b6,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,3.0,14.0,95.0,16.0,11.0,1.0,14.0,6.0,1.0,1.0,79.0,64.25764683333334,78.39735,6.798665172690947,0.35294117647058826,0.0,0.0,0.125,0.056818181818181816,0.05555555555555555,0.16049382716049382,0.0,0.0,0.13924050632911392,0.0,0.15256666666666666,-0.3346122703026477,0.02375052129059204,0.34541672468185425,-1085.0,-1442.0,-855.0,-1428.0,-1270.0,1251.0,20624.01200000022
independent-evaluation,2wiki,00365bc709c511ebbdb0ac1f6bf848b6,2wiki::00365bc709c511ebbdb0ac1f6bf848b6,2.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,3.0,24.0,170.0,17.0,8.0,2.0,25.0,7.0,1.0,1.0,81.0,64.42878371428571,78.39735,6.308284549781608,0.1111111111111111,0.0,0.0,0.05952380952380952,0.07142857142857142,0.031578947368421054,0.13253012048192772,0.0,0.0,0.10975609756097561,0.0,0.013661111111111107,-0.2933134301472374,0.005136748405655968,0.07584754377603531,-1085.0,-1442.0,-855.0,-1428.0,-1270.0,2097.0,12878.384299998288
independent-evaluation,2wiki,00ae0d500bdd11eba7f7acde48001122,2wiki::00ae0d500bdd11eba7f7acde48001122,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,7.0,28.0,243.0,11.0,5.0,1.0,28.0,6.0,1.0,1.0,136.0,27.243068833333332,35.96867,4.258689893284297,0.0,0.0,0.0,0.021739130434782608,0.05128205128205128,0.027972027972027972,0.16058394160583941,0.0,0.625,0.07971014492753623,0.03597122302158273,0.15256666666666666,0.5636376745268046,0.7156285328385026,0.8596392869949341,-784.0,-93.0,-558.0,-159.0,-130.0,1672.0,22985.40530000173
independent-evaluation,2wiki,00ae0d500bdd11eba7f7acde48001122,2wiki::00ae0d500bdd11eba7f7acde48001122,2.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,3.0,14.0,25.0,192.0,14.0,6.0,2.0,39.0,12.0,1.0,0.8333333333333334,171.0,32.04626075,60.041973,9.274126506246155,0.0,0.0,0.017543859649122806,0.023121387283236993,0.07103825136612021,0.027777777777777776,0.1907514450867052,0.08571428571428572,0.0,0.03977272727272727,0.0,0.013661111111111107,-0.0015822335518835726,0.0060373890078666715,0.31070205569267273,-784.0,-93.0,-558.0,-159.0,-130.0,1719.0,16577.188799994474
independent-evaluation,2wiki,026fe3e00bdb11eba7f7acde48001122,2wiki::026fe3e00bdb11eba7f7acde48001122,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,3.0,16.0,26.0,195.0,9.0,7.0,1.0,26.0,6.0,1.0,0.6666666666666666,272.0,39.410919666666665,56.717285,12.49516054010111,0.08333333333333333,0.0,0.011029411764705883,0.01824817518248175,0.04195804195804196,0.01079136690647482,0.0539568345323741,0.14285714285714285,0.0,0.01818181818181818,0.0,0.15256666666666666,-0.0269521484658968,0.013439994809521568,0.8455460071563721,-1546.0,-970.0,-147.0,-125.0,-602.0,1902.0,14735.822099995858
independent-evaluation,2wiki,026fe3e00bdb11eba7f7acde48001122,2wiki::026fe3e00bdb11eba7f7acde48001122,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.6666666666666666,2.0,1.0,3.0,16.0,24.0,196.0,10.0,7.0,2.0,28.0,7.0,1.0,0.7142857142857143,278.0,38.57202971428571,56.717285,11.749353467501576,0.08333333333333333,0.0,0.01079136690647482,0.017857142857142856,0.037800687285223365,0.014084507042253521,0.0,0.0,0.16666666666666666,0.017793594306049824,0.014234875444839857,0.013661111111111107,0.02013438841688068,0.038920414131204804,0.3318490982055664,-1546.0,-970.0,-147.0,-125.0,-602.0,1946.0,17992.200200002117
independent-evaluation,2wiki,034fdb0c084e11ebbd56ac1f6bf848b6,2wiki::034fdb0c084e11ebbd56ac1f6bf848b6,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,3.0,17.0,116.0,14.0,10.0,1.0,17.0,6.0,1.0,1.0,109.0,51.05018333333334,86.17765,18.832405031956014,0.5625,0.0,0.0,0.08181818181818182,0.05,0.03361344537815126,0.2072072072072072,0.0,0.0,0.09174311926605505,0.0,0.15256666666666666,-0.32352716425100514,0.00452868384502617,0.45061224699020386,-574.0,-1247.0,-422.0,-317.0,-1253.0,1318.0,12644.781000002695
independent-evaluation,2wiki,034fdb0c084e11ebbd56ac1f6bf848b6,2wiki::034fdb0c084e11ebbd56ac1f6bf848b6,2.0,1.0,1.0,0.33,-0.6699999999999999,2.0,0.0,1.0,2.0,1.0,1.0,3.0,13.0,76.0,14.0,10.0,2.0,19.0,8.0,1.0,1.0,136.0,46.848530125,86.17765,17.86359259152957,0.5625,0.0,0.0,0.06569343065693431,0.034722222222222224,0.034482758620689655,0.0,0.0,0.0,0.072992700729927,0.0,0.013661111111111107,-0.32003354326271743,0.004859740632849876,0.135807067155838,-574.0,-1247.0,-422.0,-317.0,-1253.0,1305.0,11844.977300002938
independent-evaluation,2wiki,03761ec80bde11eba7f7acde48001122,2wiki::03761ec80bde11eba7f7acde48001122,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,7.0,27.0,200.0,14.0,6.0,1.0,27.0,6.0,1.0,0.6666666666666666,115.0,38.62002616666667,48.935623,7.294771013135971,0.38461538461538464,0.0,0.0,0.04310344827586207,0.109375,0.09322033898305085,0.0,0.0,0.75,0.07758620689655173,0.05128205128205128,0.15256666666666666,0.5114572901909265,0.6634720941449819,0.8923255205154419,-997.0,-133.0,-50.0,-67.0,-323.0,1953.0,18064.509499999986
independent-evaluation,2wiki,03761ec80bde11eba7f7acde48001122,2wiki::03761ec80bde11eba7f7acde48001122,2.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,2.0,11.0,28.0,260.0,16.0,7.0,2.0,36.0,10.0,1.0,0.7,162.0,39.4362695,48.935623,6.822718067656251,0.35714285714285715,0.0,0.012345679012345678,0.03680981595092025,0.09195402298850575,0.05325443786982249,0.15853658536585366,0.07142857142857142,0.0,0.07228915662650602,0.0,0.013661111111111107,0.0009129357401161907,0.007156475095305547,0.31314322352409363,-997.0,-133.0,-50.0,-67.0,-323.0,1915.0,13426.596600002085
independent-evaluation,2wiki,038100a20bdb11eba7f7acde48001122,2wiki::038100a20bdb11eba7f7acde48001122,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.6666666666666666,1.0,0.5,1.0,8.0,29.0,207.0,12.0,3.0,1.0,29.0,6.0,1.0,1.0,163.0,42.6409265,49.384323,3.5336288092055725,0.07142857142857142,0.0,0.006134969325153374,0.012195121951219513,0.09090909090909091,0.023391812865497075,0.1402439024390244,0.0,0.42857142857142855,0.12048192771084337,0.017964071856287425,0.15256666666666666,0.36883141958676335,0.44783109021987555,0.6474385857582092,-1014.0,-856.0,-903.0,-919.0,-637.0,2128.0,13972.89410000667
independent-evaluation,2wiki,038100a20bdb11eba7f7acde48001122,2wiki::038100a20bdb11eba7f7acde48001122,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,1.0,8.0,31.0,253.0,9.0,3.0,2.0,37.0,12.0,1.0,1.0,321.0,37.09585966666667,49.384323,6.307842400058708,0.07142857142857142,0.0,0.003115264797507788,0.006211180124223602,0.04451038575667656,0.012269938650306749,0.18322981366459629,0.0,0.6,0.030959752321981424,0.006172839506172839,0.013661111111111107,0.04658395728050063,0.1330798331699261,0.19304299354553223,-1014.0,-856.0,-903.0,-919.0,-637.0,2103.0,11903.730300000461
independent-evaluation,2wiki,03c3549608fb11ebbdacac1f6bf848b6,2wiki::03c3549608fb11ebbdacac1f6bf848b6,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,3.0,17.0,21.0,150.0,14.0,7.0,1.0,21.0,6.0,1.0,1.0,226.0,32.44701666666667,41.282574,6.131433840560506,0.14285714285714285,0.3333333333333333,0.01327433628318584,0.017467248908296942,0.05555555555555555,0.02127659574468085,0.14035087719298245,0.08823529411764706,0.0,0.05752212389380531,0.0,0.15256666666666666,-0.0911934635515761,0.012830529279556262,0.4804042875766754,-1056.0,-819.0,-103.0,-561.0,-670.0,1705.0,13438.554799991834
independent-evaluation,2wiki,03c3549608fb11ebbdacac1f6bf848b6,2wiki::03c3549608fb11ebbdacac1f6bf848b6,2.0,1.0,1.0,0.67,-0.32999999999999996,2.0,0.0,1.0,2.0,1.0,3.0,17.0,22.0,150.0,15.0,6.0,2.0,25.0,9.0,1.0,1.0,263.0,30.067131555555555,41.282574,6.052759431917609,0.25,0.3333333333333333,0.011406844106463879,0.022813688212927757,0.05555555555555555,0.04119850187265917,0.0,0.0,0.0,0.03802281368821293,0.0,0.013661111111111107,-0.023864233849471568,0.012999895983420972,0.09460171312093735,-1056.0,-819.0,-103.0,-561.0,-670.0,1892.0,15338.045600001351
independent-evaluation,2wiki,03cbd9b60bda11eba7f7acde48001122,2wiki::03cbd9b60bda11eba7f7acde48001122,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,7.0,23.0,160.0,11.0,5.0,1.0,23.0,6.0,1.0,0.8333333333333334,67.0,49.3373925,97.432655,21.6194742411993,0.2,0.0,0.0,0.043478260869565216,0.08433734939759036,0.05405405405405406,0.27941176470588236,0.0,0.625,0.14705882352941177,0.07142857142857142,0.15256666666666666,0.830900345097052,0.8705816425581828,0.8610541820526123,-12.0,-36.0,-139.0,-40.0,-654.0,2139.0,21336.71239999967
independent-evaluation,2wiki,03cbd9b60bda11eba7f7acde48001122,2wiki::03cbd9b60bda11eba7f7acde48001122,2.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,1.5,2.0,11.0,46.0,381.0,22.0,10.0,2.0,53.0,11.0,1.0,0.8181818181818182,228.0,41.255520727272724,97.432655,19.521371417581708,0.5333333333333333,0.0,0.008771929824561403,0.034782608695652174,0.08300395256916997,0.06382978723404255,0.046610169491525424,0.10526315789473684,0.0,0.055793991416309016,0.0,0.013661111111111107,0.005898708128841033,0.014823339395873662,0.3301985263824463,-12.0,-36.0,-139.0,-40.0,-654.0,2231.0,27762.34570000088
