refit,seed,IDR_minus_DPA_AUBPC_pp,old_difference_pp
1,20260829,7.4808182098765315,7.3146330246913465
2,20260830,7.440134876543205,7.27394969135802
3,20260831,7.4807652777777705,7.3145800925925855
4,20260832,7.479003086419752,7.312817901234567
5,20260833,7.464669135802467,7.298483950617282
6,20260834,7.48932098765431,7.323135802469125
7,20260835,7.473958487654315,7.30777330246913
8,20260836,7.483292438271597,7.317107253086412
9,20260837,7.476664351851845,7.31047916666666
10,20260838,7.464921141975296,7.298735956790111
11,20260839,7.470707407407403,7.304522222222218
12,20260840,7.477047222222211,7.310862037037026
13,20260841,7.483412191358013,7.317227006172828
14,20260842,7.465732253086415,7.29954706790123
15,20260843,7.4559441358024685,7.2897589506172835
16,20260844,7.500761882716034,7.334576697530849
17,20260845,7.482199537037033,7.316014351851848
18,20260846,7.487007253086418,7.320822067901233
19,20260847,7.49987453703703,7.333689351851845
20,20260848,7.488895216049372,7.322710030864187
21,20260849,7.467947993827153,7.301762808641968
22,20260850,7.461076234567898,7.294891049382713
23,20260851,7.452487191358024,7.286302006172839
24,20260852,7.50979336419752,7.343608179012335
25,20260853,7.507095370370365,7.34091018518518
26,20260854,7.476282561728382,7.310097376543197
27,20260855,7.478087499999994,7.311902314814809
28,20260856,7.468002932098756,7.301817746913571
29,20260857,7.525413425925912,7.359228240740727
30,20260858,7.47693503086419,7.310749845679005
31,20260859,7.509394907407398,7.343209722222213
32,20260860,7.43868163580246,7.272496450617275
33,20260861,7.414152469135793,7.247967283950608
34,20260862,7.470501851851843,7.304316666666658
35,20260863,7.423028086419748,7.256842901234563
36,20260864,7.410575925925919,7.244390740740734
37,20260865,7.487279629629619,7.321094444444434
38,20260866,7.47051141975308,7.304326234567895
39,20260867,7.442520833333326,7.276335648148141
40,20260868,7.450302314814813,7.284117129629628
41,20260869,7.450711574074063,7.284526388888878
42,20260870,7.486159567901225,7.31997438271604
43,20260871,7.44927083333333,7.283085648148145
44,20260872,7.449862808641967,7.283677623456782
45,20260873,7.484581327160484,7.318396141975299
46,20260874,7.431274845679006,7.265089660493821
47,20260875,7.427652006172835,7.26146682098765
48,20260876,7.46944521604938,7.303260030864195
49,20260877,7.513181481481475,7.34699629629629
50,20260878,7.486771296296283,7.320586111111098
