set,dataset,query_id,source_split,sampling_seed,initial_rank,initial_role,final_selection_basis,final_trajectory_status
allocator-development,2wiki,0027f4be088a11ebbd6eac1f6bf848b6,train,2026080205,449,primary,primary,complete
allocator-development,2wiki,018c9b0f08d311ebbd96ac1f6bf848b6,train,2026080205,27,primary,primary,complete
allocator-development,2wiki,020f25320bdb11eba7f7acde48001122,train,2026080205,559,primary,primary,complete
allocator-development,2wiki,022aa065085711ebbd59ac1f6bf848b6,train,2026080205,288,primary,primary,complete
allocator-development,2wiki,02aae9a008e211ebbda3ac1f6bf848b6,train,2026080205,561,primary,primary,complete
allocator-development,2wiki,02ac9e3f08c511ebbd8eac1f6bf848b6,train,2026080205,259,primary,primary,complete
allocator-development,2wiki,02c235f5084e11ebbd56ac1f6bf848b6,train,2026080205,443,primary,primary,complete
allocator-development,2wiki,03769bed089a11ebbd77ac1f6bf848b6,train,2026080205,306,primary,primary,complete
allocator-development,2wiki,03be1ded086211ebbd5dac1f6bf848b6,train,2026080205,328,primary,primary,complete
allocator-development,2wiki,03bfd8de08b311ebbd85ac1f6bf848b6,train,2026080205,296,primary,primary,complete
allocator-development,2wiki,042d98cc097311ebbdb0ac1f6bf848b6,train,2026080205,289,primary,primary,complete
allocator-development,2wiki,0481ed5408e311ebbda4ac1f6bf848b6,train,2026080205,554,primary,primary,complete
allocator-development,2wiki,04882bcd08f911ebbdaaac1f6bf848b6,train,2026080205,528,primary,primary,complete
allocator-development,2wiki,053ed484085a11ebbd5bac1f6bf848b6,train,2026080205,108,primary,primary,complete
allocator-development,2wiki,0546d7440bdc11eba7f7acde48001122,train,2026080205,131,primary,primary,complete
allocator-development,2wiki,056c641a0bdb11eba7f7acde48001122,train,2026080205,142,primary,primary,complete
allocator-development,2wiki,0572c04a0bda11eba7f7acde48001122,train,2026080205,404,primary,primary,complete
allocator-development,2wiki,0573624a0bdd11eba7f7acde48001122,train,2026080205,499,primary,primary,complete
allocator-development,2wiki,05736c6c087d11ebbd6aac1f6bf848b6,train,2026080205,14,primary,primary,complete
allocator-development,2wiki,05ee713d08a011ebbd78ac1f6bf848b6,train,2026080205,106,primary,primary,complete
allocator-development,2wiki,05f246ca08c011ebbd8aac1f6bf848b6,train,2026080205,347,primary,primary,complete
allocator-development,2wiki,061ddad20bdc11eba7f7acde48001122,train,2026080205,93,primary,primary,complete
allocator-development,2wiki,067a8b2d085f11ebbd5cac1f6bf848b6,train,2026080205,524,primary,primary,complete
allocator-development,2wiki,077f24360bdb11eba7f7acde48001122,train,2026080205,283,primary,primary,complete
allocator-development,2wiki,08dd65300bdc11eba7f7acde48001122,train,2026080205,140,primary,primary,complete
allocator-development,2wiki,08effdfd090311ebbdadac1f6bf848b6,train,2026080205,60,primary,primary,complete
